Date;All sky;Clear sky
2005\3\29;6.07;4.75
2005\3\30;5.76;4.76
2005\3\31;5.51;4.81
2005\4\1;7.00;4.70
2005\4\2;6.64;4.78
2005\4\3;6.76;4.85
2005\4\4;6.49;4.93
2005\4\5;6.18;5.09
2005\4\6;7.12;5.09
2005\4\7;6.65;5.15
2005\4\8;7.38;5.10
2005\4\9;7.58;5.20
2005\4\10;7.25;5.18
2005\4\11;6.46;5.43
2005\4\12;6.43;5.69
2005\4\13;7.44;5.47
2005\4\14;6.76;5.71
2005\4\15;6.62;5.70
2005\4\16;6.88;5.78
2005\4\17;5.86;6.06
2005\4\18;5.84;6.11
2005\4\19;6.40;6.11
2005\4\20;6.45;6.24
2005\4\21;6.75;6.23
2005\4\22;6.43;6.25
2005\4\23;6.56;6.29
2005\4\24;6.94;6.35
2005\4\25;6.16;6.51
2005\4\26;5.99;6.52
2005\4\27;6.88;6.53
2005\4\28;7.44;6.43
2005\4\29;7.00;6.66
2005\4\30;7.07;6.63
2005\5\1;7.33;6.60
2005\5\2;6.90;6.68
2005\5\3;6.66;7.05
2005\5\4;7.29;6.70
2005\5\5;7.30;6.83
2005\5\6;7.60;6.75
2005\5\7;7.57;5.79
2005\5\8;7.67;6.89
2005\5\9;7.41;6.40
2005\5\10;7.46;7.06
2005\5\11;7.50;7.17
2005\5\12;7.00;7.27
2005\5\13;7.49;7.10
2005\5\14;7.49;7.33
2005\5\15;6.48;5.97
2005\5\16;7.46;5.90
2005\5\17;8.04;7.49
2005\5\18;8.31;7.39
2005\5\19;7.63;7.56
2005\5\20;6.79;8.09
2005\5\21;7.40;8.06
2005\5\22;7.25;7.04
2005\5\23;8.18;7.48
2005\5\24;8.38;7.40
2005\5\25;7.97;8.00
2005\5\26;8.24;7.16
2005\5\27;8.43;7.68
2005\5\28;7.17;8.28
2005\5\29;7.49;7.87
2005\5\30;8.07;7.91
2005\5\31;8.04;8.02
2005\6\1;7.99;7.93
2005\6\2;7.69;6.39
2005\6\3;7.60;8.17
2005\6\4;8.22;8.04
2005\6\5;8.38;7.83
2005\6\6;7.86;7.98
2005\6\7;8.12;7.63
2005\6\8;8.28;7.93
2005\6\9;7.07;8.55
2005\6\10;7.56;8.50
2005\6\11;8.55;7.67
2005\6\12;8.83;7.92
2005\6\13;8.76;7.29
2005\6\14;8.94;7.57
2005\6\15;8.88;7.99
2005\6\16;8.51;7.13
2005\6\17;8.56;7.22
2005\6\18;7.78;7.98
2005\6\19;7.61;6.74
2005\6\20;7.05;8.63
2005\6\21;7.20;8.79
2005\6\22;7.18;8.72
2005\6\23;7.39;8.68
2005\6\24;8.24;8.40
2005\6\25;8.98;7.64
2005\6\26;7.73;6.40
2005\6\27;7.81;8.18
2005\6\28;7.77;7.31
2005\6\29;7.91;7.99
2005\6\30;8.20;7.05
2005\7\1;8.32;7.87
2005\7\2;7.55;8.51
2005\7\3;7.25;8.51
2005\7\4;7.55;7.57
2005\7\5;8.23;7.55
2005\7\6;8.81;6.66
2005\7\7;7.21;8.41
2005\7\8;8.07;7.96
2005\7\9;7.95;8.09
2005\7\10;7.88;8.00
2005\7\11;9.11;6.61
2005\7\12;8.48;7.38
2005\7\13;8.33;6.73
2005\7\14;8.63;7.38
2005\7\15;8.45;7.47
2005\7\16;8.45;7.88
2005\7\17;8.98;7.74
2005\7\18;9.03;7.37
2005\7\19;8.88;7.12
2005\7\20;8.76;7.18
2005\7\21;9.08;6.21
2005\7\22;8.46;7.06
2005\7\23;8.63;7.16
2005\7\24;8.68;7.42
2005\7\25;8.96;6.98
2005\7\26;8.58;7.25
2005\7\27;8.67;5.97
2005\7\28;8.36;5.89
2005\7\29;7.75;7.32
2005\7\30;8.86;6.46
2005\7\31;9.08;6.67
2005\8\1;8.61;6.85
2005\8\2;8.50;6.83
2005\8\3;8.11;5.55
2005\8\4;7.88;6.50
2005\8\5;8.74;6.60
2005\8\6;8.90;6.51
2005\8\7;9.03;6.00
2005\8\8;8.37;6.66
2005\8\9;9.27;5.00
2005\8\10;8.63;5.10
2005\8\11;8.49;6.24
2005\8\12;8.93;4.54
2005\8\13;8.79;6.18
2005\8\14;8.83;6.23
2005\8\15;8.45;6.40
2005\8\16;8.38;6.25
2005\8\17;8.04;5.96
2005\8\18;7.38;6.15
2005\8\19;7.15;6.17
2005\8\20;7.48;5.83
2005\8\21;8.45;4.54
2005\8\22;8.19;5.28
2005\8\23;7.98;5.40
2005\8\24;7.68;4.71
2005\8\25;7.83;5.39
2005\8\26;8.03;5.41
2005\8\27;8.36;5.36
2005\8\28;8.05;4.28
2005\8\29;8.15;4.37
2005\8\30;8.38;4.99
2005\8\31;8.04;5.19
2005\9\1;7.88;5.11
2005\9\2;7.78;4.14
2005\9\3;7.49;4.93
