Date,T_min,T_max,Precipitation,All sky,Clear sky
2004-01-01,-4.1,4.7,0.0,5.54,2.17
2004-01-01,-4.1,4.7,0.0,5.99,2.29
2004-01-01,-4.1,4.7,0.0,6.71,2.39
2004-01-01,-4.1,4.7,0.0,6.63,2.19
2004-01-01,-4.1,4.7,0.0,6.8,2.44
2004-01-01,-4.1,4.7,0.0,6.83,2.24
2004-01-01,-4.1,4.7,0.0,6.53,2.51
2004-01-01,-4.1,4.7,0.0,5.92,2.51
2004-01-01,-4.1,4.7,0.0,6.77,2.63
2004-01-01,-4.1,4.7,0.0,6.32,2.7
2004-01-01,-4.1,4.7,0.0,6.68,2.68
2004-01-01,-4.1,4.7,0.0,6.82,2.7
2004-01-01,-4.1,4.7,0.0,6.88,2.74
2004-01-01,-4.1,4.7,0.0,6.82,2.84
2004-01-01,-4.1,4.7,0.0,6.41,2.91
2004-01-01,-4.1,4.7,0.0,6.48,2.97
2004-01-01,-4.1,4.7,0.0,5.9,3.06
2004-01-01,-4.1,4.7,0.0,4.98,3.16
2004-01-01,-4.1,4.7,0.0,5.2,3.23
2004-01-01,-4.1,4.7,0.0,5.24,3.21
2004-01-01,-4.1,4.7,0.0,5.43,3.26
2004-01-01,-4.1,4.7,0.0,5.15,3.36
2004-01-01,-4.1,4.7,0.0,5.17,3.49
2004-01-01,-4.1,4.7,0.0,5.24,3.48
2004-01-01,-4.1,4.7,0.0,6.23,3.46
2004-01-01,-4.1,4.7,0.0,6.24,3.58
2004-01-01,-4.1,4.7,0.0,6.23,3.5
2004-01-01,-4.1,4.7,0.0,6.69,3.42
2004-01-01,-4.1,4.7,0.0,6.31,3.55
2004-01-01,-4.1,4.7,0.0,6.87,3.55
2004-01-01,-4.1,4.7,0.0,6.83,3.58
2004-01-01,-4.1,4.7,0.0,7.22,3.53
2004-01-01,-4.1,4.7,0.0,7.12,3.66
2004-01-01,-4.1,4.7,0.0,6.63,3.71
2004-01-01,-4.1,4.7,0.0,6.99,3.81
2004-01-01,-4.1,4.7,0.0,6.29,3.86
2004-01-01,-4.1,4.7,0.0,5.26,4.11
2004-01-01,-4.1,4.7,0.0,6.38,4.1
2004-01-01,-4.1,4.7,0.0,6.83,4.02
2004-01-01,-4.1,4.7,0.0,7.1,4.1
2004-01-01,-4.1,4.7,0.0,6.99,4.1
2004-01-01,-4.1,4.7,0.0,6.85,4.27
2004-01-01,-4.1,4.7,0.0,6.1,4.35
2004-01-01,-4.1,4.7,0.0,6.15,4.25
2004-01-01,-4.1,4.7,0.0,6.7,4.21
2004-01-01,-4.1,4.7,0.0,6.68,4.27
2004-01-01,-4.1,4.7,0.0,6.42,4.59
2004-01-01,-4.1,4.7,0.0,7.12,4.38
2004-01-01,-4.1,4.7,0.0,6.9,4.53
2004-01-01,-4.1,4.7,0.0,7.19,4.45
2004-01-01,-4.1,4.7,0.0,6.73,4.64
2004-01-01,-4.1,4.7,0.0,6.5,4.85
