;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest;Protein;Oil
2224;10044;СибНИИСХ 6;Пушкин;Россия;2006-05-10;2006-05-26;2006-07-06;16.0;40.0;135.42;42.5;18.6
2233;10044;СибНИИСХ 6;Пушкин;Россия;;2006-05-26;2006-07-06;16.0;40.0;266.4;42.5;18.6
2243;10388;Соер 13-91;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;130.98;40.0;18.6
2262;10623;Мадева;Пушкин;Россия;2006-05-10;2006-05-26;2006-07-07;16.0;41.0;150.96;39.6;16.1
2280;10658;ПЭП 26;Пушкин;Россия;2006-05-10;2006-05-26;2006-07-10;16.0;44.0;228.66;37.6;18.2
2298;10659;ПЭП 27;Пушкин;Россия;2006-05-10;2006-05-26;2006-07-07;16.0;41.0;215.34;33.4;20.9
2317;10660;ПЭП 28;Пушкин;Россия;2006-05-10;2006-05-26;2006-07-05;16.0;39.0;193.14;41.2;17.8
2336;10677;Степная 90;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-07;15.0;42.0;142.08;41.8;17.9
2354;10678;СибНИИК 15/83;Пушкин;Россия;2006-05-10;2006-05-26;2006-07-07;16.0;41.0;244.2;43.0;18.6
2373;10680;Восход*1191/79;Пушкин;Россия;2006-05-10;2006-05-26;2006-07-07;16.0;41.0;233.1;45.3;16.2
2393;5589;Fiskeby 840-2-7;Пушкин;Швеция;2006-05-10;2006-05-28;2006-07-10;18.0;42.0;215.34;42.2;17.8
2412;5826;Fiskeby 840-7-3;Пушкин;Швеция;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;206.46;36.6;19.1
2431;5829;Fiskeby V;Пушкин;Швеция;2006-05-10;2006-05-28;2006-07-07;18.0;39.0;339.66;35.4;20.2
2457;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2006-05-10;2006-05-28;2006-07-06;18.0;38.0;295.26;36.4;20.9
2476;6793;Bravalla;Пушкин;Швеция;2006-05-10;2006-05-26;2006-07-06;16.0;40.0;239.76;40.9;17.9
2494;9587;Белор;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;288.6;41.4;18.8
2513;9648;Mapl Ridge;Пушкин;Канада;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;217.56;39.5;18.9
2531;9659;Магева;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;384.06;39.2;18.5
2549;9837;Sito;Пушкин;Германия;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;375.18;36.9;20.6
2569;9922;Major;Пушкин;Франция;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;313.02;39.9;17.8
